model_id,timing_mode,checkpoint_id,target_id,n_forecasts,n_variance,share_positive_variance,share_finite_sd,min_forecast_variance,median_forecast_variance,max_forecast_variance,mean_forecast_sd,empirical_error_sd,RMSE,mean_sd_to_rmse,mean_sd_to_empirical_error_sd,coverage_68,coverage_90,model_implied_share
monthly_mixed_frequency_kalman_em,pseudo,pre_second,S,4,4,1.0,1.0,17.8509153467457,17.876290923394656,17.880798038402453,4.227419054736896,0.42593327722788915,0.37594474375042,11.24478829671674,9.92507343462408,1.0,1.0,1.0
monthly_mixed_frequency_kalman_em,pseudo,pre_third,T,4,4,1.0,1.0,14.248482167142395,17.04631629625012,19.825896409458373,4.114355620988229,0.36803910145351276,0.3986979922351121,10.319479157452076,11.179126361137243,1.0,1.0,1.0
no_revision,exact,pre_advance,A,4,0,0.0,0.0,,,,,0.44320514738905387,0.9106606012086816,,,,,0.0
no_revision,exact,pre_second,S,4,0,0.0,0.0,,,,,0.2107304973182571,0.18521783796384184,,,,,0.0
no_revision,exact,pre_third,T,4,0,0.0,0.0,,,,,0.0853701938617922,0.15440160297095354,,,,,0.0
no_revision,pseudo,pre_advance,A,4,0,0.0,0.0,,,,,0.44320514738905387,0.9106606012086816,,,,,0.0
no_revision,pseudo,pre_second,S,4,0,0.0,0.0,,,,,0.2107304973182571,0.18521783796384184,,,,,0.0
no_revision,pseudo,pre_third,T,4,0,0.0,0.0,,,,,0.0853701938617922,0.15440160297095354,,,,,0.0
release_dfm,exact,pre_advance,A,4,0,0.0,0.0,,,,,0.7340799248023763,1.3981867643440102,,,,,0.0
release_dfm,exact,pre_second,S,4,0,0.0,0.0,,,,,0.23413178022969547,0.2573890997437922,,,,,0.0
release_dfm,exact,pre_third,T,4,0,0.0,0.0,,,,,0.143399555721823,0.1556010599154126,,,,,0.0
release_dfm,pseudo,pre_advance,A,4,0,0.0,0.0,,,,,0.691993240465753,1.4271377495507047,,,,,0.0
release_dfm,pseudo,pre_second,S,4,0,0.0,0.0,,,,,0.23444559996708728,0.2578185374818444,,,,,0.0
release_dfm,pseudo,pre_third,T,4,0,0.0,0.0,,,,,0.14302469725539083,0.1552059559847032,,,,,0.0
revision_dfm_kalman_em,exact,pre_advance,A,4,4,1.0,1.0,19.562399415408866,20.92936568940469,22.149831123647846,4.568958151559943,0.8098028200655338,0.7311880512988784,6.248677263589949,5.642062534667633,1.0,1.0,1.0
revision_dfm_kalman_em,exact,pre_second,S,4,4,1.0,1.0,11.653625779025845,12.937383498333848,14.105914359794928,3.5890436636946266,0.4154025384373073,0.36402547270494884,9.859320110281487,8.63991750555055,1.0,1.0,1.0
revision_dfm_kalman_em,exact,pre_third,T,4,4,1.0,1.0,10.410547294874922,11.742974075114638,12.994548125163291,3.418881647301913,0.3429125865162907,0.3452228387965145,9.90340517220853,9.97012586220568,1.0,1.0,1.0
revision_dfm_kalman_em,pseudo,pre_advance,A,4,4,1.0,1.0,19.56238342908386,20.929234881028165,22.149787784650737,4.568950124064555,0.766330439706828,0.7019391593975989,6.509040082598623,5.962114888470932,1.0,1.0,1.0
revision_dfm_kalman_em,pseudo,pre_second,S,4,4,1.0,1.0,11.654288160608978,12.938408328240403,14.105918450755064,3.589138464706285,0.41320367582500994,0.3621003029844044,9.91200072224427,8.686124240158673,1.0,1.0,1.0
revision_dfm_kalman_em,pseudo,pre_third,T,4,4,1.0,1.0,10.410596929319812,11.741402998173353,12.995678854981662,3.418801958927043,0.351212947235137,0.34723047619149694,9.845915590201766,9.734270862851066,1.0,1.0,1.0
spf,exact,pre_advance,A,4,0,0.0,0.0,,,,,0.6609800047404361,0.7030634146362618,,,,,0.0
spf,exact,pre_second,S,4,0,0.0,0.0,,,,,0.8477838968943284,0.825143552662202,,,,,0.0
spf,exact,pre_third,T,4,0,0.0,0.0,,,,,0.8416214880613891,0.890795746790475,,,,,0.0
spf,pseudo,pre_advance,A,4,0,0.0,0.0,,,,,0.6609800047404361,0.7030634146362618,,,,,0.0
spf,pseudo,pre_second,S,4,0,0.0,0.0,,,,,0.8477838968943284,0.825143552662202,,,,,0.0
spf,pseudo,pre_third,T,4,0,0.0,0.0,,,,,0.8416214880613891,0.890795746790475,,,,,0.0
standard_dfm,exact,pre_advance,A,4,0,0.0,0.0,,,,,0.7340799248023763,1.3981867643440102,,,,,0.0
standard_dfm,exact,pre_second,S,4,0,0.0,0.0,,,,,0.4664950495290383,1.3777528566722856,,,,,0.0
standard_dfm,exact,pre_third,T,4,0,0.0,0.0,,,,,0.5933532345887517,1.4749265932127957,,,,,0.0
standard_dfm,pseudo,pre_advance,A,4,0,0.0,0.0,,,,,0.691993240465753,1.4271377495507047,,,,,0.0
standard_dfm,pseudo,pre_second,S,4,0,0.0,0.0,,,,,0.47869219130815405,1.4058982368503126,,,,,0.0
standard_dfm,pseudo,pre_third,T,4,0,0.0,0.0,,,,,0.5578982240246905,1.420977743086982,,,,,0.0
