model_id,timing_mode,checkpoint_id,target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement
bridge,pseudo,pre_second,S,79,4.542167880186523,2.0691295163901073,-0.0561920369722996,0.654291605030195,0.1916852752037389,0.9113924050632912,1.0,0.0,,,
midas_umidas,pseudo,pre_second,S,79,4.762771639416986,2.056091631828908,0.3916317728814475,0.6860692036372872,0.2949752830466134,0.8734177215189873,1.0,0.0,,,
ar,pseudo,pre_second,S,79,6.942115480721942,2.4901407735357477,0.042512275116617,1.0,1.0,0.8987341772151899,1.0,0.0,,,
no_revision,pseudo,pre_third,T,80,0.3621867125530698,0.2402725,-0.0484925,0.0528438842823974,0.1487243773879313,1.0,1.0,0.0,,,
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,T,80,0.3711227307774689,0.2424756312402555,-0.0485963109657912,0.0541476701382254,0.1487780994188997,1.0,1.0,32.45,9.177091728230236e-05,9.487247649140756e-05,9.96716280950298e-05
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,T,80,0.3711507671909406,0.2449644817264721,-0.039136421137563,0.0541517607162004,0.1487841301562618,1.0,1.0,34.4875,9.22952143116899e-05,9.440581813614707e-05,9.998239234150556e-05
revision_dfm_kalman_em,pseudo,pre_third,T,80,0.3718221420689141,0.2446646699590366,-0.0386888421423432,0.0542497158733944,0.1487869360300715,1.0,1.0,25.7625,9.335637143285768e-05,9.383266098786296e-05,9.978008755801868e-05
monthly_mixed_frequency_kalman_em,pseudo,pre_third,T,80,0.376214431407511,0.2632578902831454,0.001126045967378,0.0548905611101164,0.1488212036154868,1.0,0.95,44.6875,9.977180739349876e-05,9.629739269598512e-05,0.0002739932333404
release_dfm,pseudo,pre_third,T,80,0.4446354112046444,0.2866479518602379,-0.004369775270577,0.0648733412993764,0.1492100595191605,1.0,1.0,0.0,,,
standard_dfm,pseudo,pre_third,T,80,2.906128566370332,1.6923315853777292,0.6300497207873997,0.4240109212966813,0.1930971600572908,0.925,1.0,0.0,,,
bridge,pseudo,pre_third,T,80,4.398694165093339,2.023836204423721,-0.0372443919640486,0.6417797158138154,0.1845357697294485,0.9,1.0,0.0,,,
midas_umidas,pseudo,pre_third,T,80,6.186914482958165,2.466880937795325,0.3828185062853511,0.9026852219340452,0.3847185977534022,0.875,1.0,0.0,,,
ar,pseudo,pre_third,T,80,6.853900266254954,2.504536216607909,0.0681353139193999,1.0,1.0,0.9,1.0,0.0,,,
