subsample,timing_mode,checkpoint_id,revision_target_id,best_models,best_RMSE,best_MAE,best_bias,best_relative_RMSFE,best_DM_test,best_sign_accuracy,best_n_forecasts,n_models_compared,structured_family_win
gfc_and_recovery,pseudo,pre_third,DELTA_MT,no_revision; indicator_revision_only_dfm_kalman_em,0.7484396852197506,0.5317748788431061,0.19108027529080468,0.3435855035317683,,0.0,28,10,False
post_gfc_pre_pandemic,exact,pre_advance,DELTA_SA,joint_indicator_revision_dfm_full_kalman_em,0.400771673282891,0.2892372635821047,-0.013694381619848017,0.8277734536034532,,0.6842105263157895,19,10,True
post_gfc_pre_pandemic,exact,pre_second,DELTA_TS,standard_dfm,0.22357645883210436,0.18906284169909568,-0.05876251516938443,0.854525985758236,,0.631578947368421,19,10,False
post_gfc_pre_pandemic,exact,pre_third,DELTA_MT,no_revision; indicator_revision_only_dfm_kalman_em,0.4448129877236602,0.3303320793562535,0.1639614905999304,0.5123543966995286,,0.0,20,10,False
post_gfc_pre_pandemic,pseudo,pre_advance,DELTA_SA,joint_indicator_revision_dfm_full_kalman_em,0.40117810632140183,0.28870618530474124,-0.014539459194774028,0.8286129203182308,,0.6842105263157895,19,10,True
post_gfc_pre_pandemic,pseudo,pre_second,DELTA_TS,standard_dfm,0.22357568340788977,0.18907570952794583,-0.05874040921696413,0.8545230220287593,,0.631578947368421,19,10,False
post_gfc_pre_pandemic,pseudo,pre_third,DELTA_MT,no_revision; indicator_revision_only_dfm_kalman_em,0.4448129877236602,0.3303320793562535,0.1639614905999304,0.5123543966995286,,0.0,20,10,False
post_pandemic,exact,pre_advance,DELTA_SA,revision_dfm_kalman_em,0.20548830609546895,0.1539091627758388,0.1098898021171032,0.8748391562988143,,0.6875,16,10,True
post_pandemic,exact,pre_second,DELTA_TS,standard_dfm,0.22658580721875066,0.16898884258505056,-0.027600742737959035,0.9917368203939798,,0.625,16,10,False
post_pandemic,exact,pre_third,DELTA_MT,no_revision; indicator_revision_only_dfm_kalman_em,0.21043106787303612,0.14760969104879457,0.09492926907035985,0.041426127275731583,,0.0,16,10,False
post_pandemic,pseudo,pre_advance,DELTA_SA,revision_dfm_kalman_em,0.20576974060482417,0.15389356081745909,0.11001488660955988,0.8760373263231624,,0.6875,16,10,True
post_pandemic,pseudo,pre_second,DELTA_TS,standard_dfm,0.22677069884494588,0.16925239002450293,-0.02737677909174288,0.9925460671677784,,0.625,16,10,False
post_pandemic,pseudo,pre_third,DELTA_MT,no_revision; indicator_revision_only_dfm_kalman_em,0.21043106787303612,0.14760969104879457,0.09492926907035985,0.041426127275731583,,0.0,16,10,False
