subsample,model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,relative_RMSFE,DM_test_vs_ar_normal_approx
full_sample,release_dfm,exact,pre_second,DELTA_TS,79,0.36379196310695533,0.2423442573273785,-0.020824138717578208,0.5822784810126582,1.0,0.0,,,,0.8918301428962991,0.10151136542361569
full_sample,release_dfm,exact,pre_third,DELTA_MT,80,1.3863112684082792,1.0670112467029451,0.41176470475757093,0.525,1.0,0.0,,,,0.45758881306236904,0.0645439693712576
full_sample,release_dfm,pseudo,pre_advance,DELTA_SA,79,0.6405783165541691,0.42694074858486186,-0.007591496798546787,0.5949367088607594,1.0,0.0,,,,0.9446077702956096,0.39997645094017836
full_sample,release_dfm,pseudo,pre_second,DELTA_TS,79,0.3638289418724509,0.24238972923091193,-0.02081501790262917,0.5822784810126582,1.0,0.0,,,,0.8919207957447964,0.10183425680423092
full_sample,release_dfm,pseudo,pre_third,DELTA_MT,80,1.3855161436381087,1.0661529880343459,0.41242905096468857,0.525,1.0,0.0,,,,0.4573263610372646,0.06444766665313034
full_sample,revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,79,0.6292183585954639,0.4372406999515956,0.07402793243190743,0.6582278481012658,1.0,24.620253164556964,9.378421861952402e-05,9.30043335769492e-05,9.99444316614338e-05,0.9278561814879405,0.2820944428174299
full_sample,revision_dfm_kalman_em,exact,pre_second,DELTA_TS,79,0.3617093443923939,0.2385576792842235,-0.050736377267462475,0.569620253164557,1.0,24.810126582278482,9.390002704041372e-05,9.3669612333604e-05,9.986560588594552e-05,0.8867246366340298,0.09225488802205625
full_sample,revision_dfm_kalman_em,exact,pre_third,DELTA_MT,80,1.3404209621247674,1.0570151829057728,-0.030245338780872676,0.4625,1.0,24.5375,9.293437404244215e-05,9.321138048474741e-05,9.965469673331924e-05,0.4424415000008146,0.062006100042761816
full_sample,revision_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,79,0.6291408533109707,0.4371281313139207,0.07446478126433337,0.6582278481012658,1.0,24.620253164556964,9.373768800575763e-05,9.301502304353244e-05,9.99444316614338e-05,0.9277418908663579,0.2809020741187345
full_sample,revision_dfm_kalman_em,pseudo,pre_second,DELTA_TS,79,0.3617102518487542,0.23852544453605778,-0.05076905453500826,0.569620253164557,1.0,24.82278481012658,9.368912936190407e-05,9.363989350836496e-05,9.986307100241731e-05,0.886726861248693,0.09226680009109965
full_sample,revision_dfm_kalman_em,pseudo,pre_third,DELTA_MT,80,1.340420250574464,1.0570143316989993,-0.030252431965484394,0.4625,1.0,24.55,9.297924988184345e-05,9.321137516109301e-05,9.965571978906268e-05,0.4424412651347595,0.062006055044885273
full_sample,standard_dfm,exact,pre_advance,DELTA_SA,79,0.6416466896223116,0.4275288832410044,-0.008320378652386348,0.5949367088607594,1.0,0.0,,,,0.9461832115424672,0.41459771738579526
full_sample,standard_dfm,exact,pre_second,DELTA_TS,79,0.3671373475049815,0.24650353001034275,0.002241302448894593,0.5822784810126582,1.0,0.0,,,,0.9000312989093515,0.1329416583523452
full_sample,standard_dfm,exact,pre_third,DELTA_MT,80,1.624228257791057,1.2353701363396288,0.1520240790894632,0.45,1.0,0.0,,,,0.536119627360688,0.06375552669092185
full_sample,standard_dfm,pseudo,pre_advance,DELTA_SA,79,0.6405783165541691,0.42694074858486186,-0.007591496798546787,0.5949367088607594,1.0,0.0,,,,0.9446077702956096,0.39997645094017836
full_sample,standard_dfm,pseudo,pre_second,DELTA_TS,79,0.36710910374468614,0.2465320872890169,0.002236135468587002,0.5822784810126582,1.0,0.0,,,,0.8999620597855265,0.13258139742534072
full_sample,standard_dfm,pseudo,pre_third,DELTA_MT,80,1.6219433758649806,1.2335856445935294,0.15165276672684927,0.45,1.0,0.0,,,,0.5353654414629267,0.06348061383133172
exclude_pandemic,ar,exact,pre_advance,DELTA_SA,77,0.6112853443552796,0.4343518097205975,0.06450799861152849,0.5324675324675324,1.0,0.0,,,,1.0,1.0
exclude_pandemic,ar,exact,pre_second,DELTA_TS,77,0.40531560181673026,0.25638850266146523,0.009034491288545497,0.5974025974025974,1.0,0.0,,,,1.0,1.0
exclude_pandemic,ar,exact,pre_third,DELTA_MT,78,2.342995496965068,1.586285044193774,0.11243780134993582,0.44871794871794873,1.0,0.0,,,,1.0,1.0
exclude_pandemic,ar,pseudo,pre_advance,DELTA_SA,77,0.6112853443552796,0.4343518097205975,0.06450799861152849,0.5324675324675324,1.0,0.0,,,,1.0,1.0
exclude_pandemic,ar,pseudo,pre_second,DELTA_TS,77,0.40531560181673026,0.25638850266146523,0.009034491288545497,0.5974025974025974,1.0,0.0,,,,1.0,1.0
exclude_pandemic,ar,pseudo,pre_third,DELTA_MT,78,2.342995496965068,1.586285044193774,0.11243780134993582,0.44871794871794873,1.0,0.0,,,,1.0,1.0
exclude_pandemic,bridge,exact,pre_advance,DELTA_SA,77,0.6398644207963774,0.4553471550643213,-0.0035289425147350694,0.5454545454545454,1.0,0.0,,,,1.0467524319125303,0.47470783801388544
exclude_pandemic,bridge,exact,pre_second,DELTA_TS,77,0.49173886618108775,0.3581687101227127,0.012256235054566338,0.6103896103896104,1.0,0.0,,,,1.2132246179939432,0.007123875771569699
exclude_pandemic,bridge,exact,pre_third,DELTA_MT,78,1.8188933226097863,1.4021460550185725,-0.102386224216545,0.47435897435897434,1.0,0.0,,,,0.7763110620425168,0.3439213277693039
exclude_pandemic,bridge,pseudo,pre_advance,DELTA_SA,77,0.6459173190553972,0.4571498559605344,-0.0021079141861950826,0.5454545454545454,1.0,0.0,,,,1.0566543513923825,0.4303291126947531
exclude_pandemic,bridge,pseudo,pre_second,DELTA_TS,77,0.4918469234986771,0.35736623792113514,0.011525848561251594,0.6233766233766234,1.0,0.0,,,,1.213491218433465,0.007241198267212409
exclude_pandemic,bridge,pseudo,pre_third,DELTA_MT,78,1.8153651548079333,1.3971802437549306,-0.0993014728061564,0.46153846153846156,1.0,0.0,,,,0.7748052256862697,0.34122565368921504
exclude_pandemic,indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,77,0.5605800485026388,0.39431818181818185,-0.05211298701298704,0.0,0.935064935064935,31.324675324675326,0.0002451934231431758,9.353049063728572e-05,0.0111587142725786,0.9170513470985968,0.09684278494929507
exclude_pandemic,indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,77,0.36172345611156964,0.2351532467532467,-0.04683376623376622,0.0,0.935064935064935,31.2987012987013,9.990419560729205e-05,9.574114351483472e-05,0.0002946929484685,0.8924488830191356,0.1172582024516386
exclude_pandemic,indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,78,1.2898514041328908,1.0207653846153844,0.028983333333333274,0.0,0.9743589743589743,30.71794871794872,9.526610816180054e-05,9.438704649091907e-05,0.0003009708082491,0.5505138212188896,0.08108705063546676
exclude_pandemic,indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,77,0.5605800485026388,0.39431818181818185,-0.05211298701298704,0.0,0.935064935064935,31.48051948051948,0.00024329918071535676,9.355931290422036e-05,0.0111587142725786,0.9170513470985968,0.09684278494929507
exclude_pandemic,indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,77,0.36172345611156964,0.2351532467532467,-0.04683376623376622,0.0,0.935064935064935,31.350649350649352,9.986953597956512e-05,9.570788576213166e-05,0.0002966142482175,0.8924488830191356,0.1172582024516386
exclude_pandemic,indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,78,1.2898514041328908,1.0207653846153844,0.028983333333333274,0.0,0.9743589743589743,30.71794871794872,9.55047544367426e-05,9.448576014073486e-05,0.0003012254393586,0.5505138212188896,0.08108705063546676
exclude_pandemic,joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,77,0.5878327306812787,0.4388175455570949,0.07944912553380463,0.6363636363636364,0.948051948051948,31.428571428571427,0.00010521475339864824,9.376458270204846e-05,0.0004770198968177,0.9616339343146919,0.6475010614513961
exclude_pandemic,joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,77,0.362505607545566,0.23626754433322772,-0.04327012717088116,0.5194805194805194,0.922077922077922,31.935064935064936,0.00025314604510494397,9.3702431755281e-05,0.0116237689368787,0.8943786173557625,0.12959503683650714
