model_id,timing_mode,checkpoint_id,outcome_id,threshold_abs_revision,n_obs,sign_accuracy,balanced_accuracy,actual_positive_pred_positive,actual_positive_pred_nonpositive,actual_negative_pred_positive,actual_negative_pred_nonpositive,mean_abs_realized_revision,mean_abs_forecast_revision
monthly_mixed_frequency_kalman_em,pseudo,pre_third,DELTA_MT,0.1,4,0.0,0.0,0,2,2,0,0.5086,0.04757756963682005
monthly_mixed_frequency_kalman_em,pseudo,pre_third,DELTA_MT,0.2,4,0.0,0.0,0,2,2,0,0.5086,0.04757756963682005
no_revision,exact,pre_advance,DELTA_SA,0.0,4,0.0,0.5,0,3,0,1,0.13862499999999994,0.0
no_revision,exact,pre_advance,DELTA_SA,0.1,2,0.0,0.5,0,1,0,1,0.22589999999999985,0.0
no_revision,exact,pre_advance,DELTA_SA,0.2,1,0.0,1.0,0,0,0,1,0.3404999999999998,0.0
no_revision,exact,pre_second,DELTA_TS,0.0,4,0.0,0.0,0,4,0,0,0.13554999999999992,0.0
no_revision,exact,pre_second,DELTA_TS,0.1,3,0.0,0.0,0,3,0,0,0.16803333333333326,0.0
no_revision,exact,pre_second,DELTA_TS,0.2,1,0.0,0.0,0,1,0,0,0.2393999999999998,0.0
no_revision,exact,pre_third,DELTA_MT,0.0,4,0.0,0.5,0,2,0,2,0.5086,0.0
no_revision,exact,pre_third,DELTA_MT,0.1,4,0.0,0.5,0,2,0,2,0.5086,0.0
no_revision,exact,pre_third,DELTA_MT,0.2,4,0.0,0.5,0,2,0,2,0.5086,0.0
no_revision,pseudo,pre_advance,DELTA_SA,0.0,4,0.0,0.5,0,3,0,1,0.13862499999999994,0.0
no_revision,pseudo,pre_advance,DELTA_SA,0.1,2,0.0,0.5,0,1,0,1,0.22589999999999985,0.0
no_revision,pseudo,pre_advance,DELTA_SA,0.2,1,0.0,1.0,0,0,0,1,0.3404999999999998,0.0
no_revision,pseudo,pre_second,DELTA_TS,0.0,4,0.0,0.0,0,4,0,0,0.13554999999999992,0.0
no_revision,pseudo,pre_second,DELTA_TS,0.1,3,0.0,0.0,0,3,0,0,0.16803333333333326,0.0
no_revision,pseudo,pre_second,DELTA_TS,0.2,1,0.0,0.0,0,1,0,0,0.2393999999999998,0.0
no_revision,pseudo,pre_third,DELTA_MT,0.0,4,0.0,0.5,0,2,0,2,0.5086,0.0
no_revision,pseudo,pre_third,DELTA_MT,0.1,4,0.0,0.5,0,2,0,2,0.5086,0.0
no_revision,pseudo,pre_third,DELTA_MT,0.2,4,0.0,0.5,0,2,0,2,0.5086,0.0
release_dfm,exact,pre_advance,DELTA_SA,0.0,4,0.75,0.5,3,0,1,0,0.13862499999999994,0.0921944496578115
release_dfm,exact,pre_advance,DELTA_SA,0.1,2,0.5,0.5,1,0,1,0,0.22589999999999985,0.10071405357582035
release_dfm,exact,pre_advance,DELTA_SA,0.2,1,0.0,0.0,0,0,1,0,0.3404999999999998,0.1210594422346642
release_dfm,exact,pre_second,DELTA_TS,0.0,4,1.0,1.0,4,0,0,0,0.13554999999999992,0.08022158873681186
release_dfm,exact,pre_second,DELTA_TS,0.1,3,1.0,1.0,3,0,0,0,0.16803333333333326,0.08055509845551169
release_dfm,exact,pre_second,DELTA_TS,0.2,1,1.0,1.0,1,0,0,0,0.2393999999999998,0.0856466718201067
release_dfm,exact,pre_third,DELTA_MT,0.0,4,0.5,0.5,2,0,2,0,0.5086,0.6187573505691235
release_dfm,exact,pre_third,DELTA_MT,0.1,4,0.5,0.5,2,0,2,0,0.5086,0.6187573505691235
release_dfm,exact,pre_third,DELTA_MT,0.2,4,0.5,0.5,2,0,2,0,0.5086,0.6187573505691235
release_dfm,pseudo,pre_advance,DELTA_SA,0.0,4,0.75,0.5,3,0,1,0,0.13862499999999994,0.09300820622148566
release_dfm,pseudo,pre_advance,DELTA_SA,0.1,2,0.5,0.5,1,0,1,0,0.22589999999999985,0.1028216691315526
release_dfm,pseudo,pre_advance,DELTA_SA,0.2,1,0.0,0.0,0,0,1,0,0.3404999999999998,0.1203866502518975
release_dfm,pseudo,pre_second,DELTA_TS,0.0,4,1.0,1.0,4,0,0,0,0.13554999999999992,0.08015939903530357
release_dfm,pseudo,pre_second,DELTA_TS,0.1,3,1.0,1.0,3,0,0,0,0.16803333333333326,0.0804690823250676
release_dfm,pseudo,pre_second,DELTA_TS,0.2,1,1.0,1.0,1,0,0,0,0.2393999999999998,0.0853852024025201
release_dfm,pseudo,pre_third,DELTA_MT,0.0,4,0.5,0.5,2,0,2,0,0.5086,0.612861626186532
release_dfm,pseudo,pre_third,DELTA_MT,0.1,4,0.5,0.5,2,0,2,0,0.5086,0.612861626186532
release_dfm,pseudo,pre_third,DELTA_MT,0.2,4,0.5,0.5,2,0,2,0,0.5086,0.612861626186532
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,0.0,4,0.5,0.3333333333333333,2,1,1,0,0.13862499999999994,0.20696019112655056
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,0.1,2,0.0,0.0,0,1,1,0,0.22589999999999985,0.19451448280208483
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,0.2,1,0.0,0.0,0,0,1,0,0.3404999999999998,0.2616903084721818
revision_dfm_kalman_em,exact,pre_second,DELTA_TS,0.0,4,0.5,0.5,2,2,0,0,0.13554999999999992,0.0011492940499604751
revision_dfm_kalman_em,exact,pre_second,DELTA_TS,0.1,3,0.6666666666666666,0.6666666666666666,2,1,0,0,0.16803333333333326,0.0014754944568535669
revision_dfm_kalman_em,exact,pre_second,DELTA_TS,0.2,1,0.0,0.0,0,1,0,0,0.2393999999999998,0.0001097822651687
revision_dfm_kalman_em,exact,pre_third,DELTA_MT,0.0,4,0.5,0.5,2,0,2,0,0.5086,0.050651320266907225
revision_dfm_kalman_em,exact,pre_third,DELTA_MT,0.1,4,0.5,0.5,2,0,2,0,0.5086,0.050651320266907225
revision_dfm_kalman_em,exact,pre_third,DELTA_MT,0.2,4,0.5,0.5,2,0,2,0,0.5086,0.050651320266907225
revision_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,0.0,4,0.5,0.3333333333333333,2,1,1,0,0.13862499999999994,0.20115099249787471
revision_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,0.1,2,0.0,0.0,0,1,1,0,0.22589999999999985,0.18406258351624055
revision_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,0.2,1,0.0,0.0,0,0,1,0,0.3404999999999998,0.2602160319527726
revision_dfm_kalman_em,pseudo,pre_second,DELTA_TS,0.0,4,0.5,0.5,2,2,0,0,0.13554999999999992,0.0011472694011948502
revision_dfm_kalman_em,pseudo,pre_second,DELTA_TS,0.1,3,0.6666666666666666,0.6666666666666666,2,1,0,0,0.16803333333333326,0.0014729229717715335
revision_dfm_kalman_em,pseudo,pre_second,DELTA_TS,0.2,1,0.0,0.0,0,1,0,0,0.2393999999999998,0.000106425057853
revision_dfm_kalman_em,pseudo,pre_third,DELTA_MT,0.0,4,0.5,0.5,2,0,2,0,0.5086,0.05048356164435125
revision_dfm_kalman_em,pseudo,pre_third,DELTA_MT,0.1,4,0.5,0.5,2,0,2,0,0.5086,0.05048356164435125
revision_dfm_kalman_em,pseudo,pre_third,DELTA_MT,0.2,4,0.5,0.5,2,0,2,0,0.5086,0.05048356164435125
