model_id,timing_mode,checkpoint_id,outcome_id,n_density_forecasts,mean_log_score,mean_crps,coverage_68,coverage_90,mean_predictive_sd
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,79,-0.41758329990070814,0.18412120362267348,0.8481012658227848,0.9493670886075949,0.37351052485925745
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,73,-1.7786688385565568,0.7920136237670552,0.7808219178082192,0.8904109589041096,1.5194714999707526
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,79,-0.9577643392796515,0.34234475636184974,0.7468354430379747,0.9113924050632911,0.6326934850988737
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,79,-0.41733531487866254,0.1840772526033826,0.8481012658227848,0.9493670886075949,0.3735153148350691
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,73,-1.7786789604572784,0.7920199859214613,0.7808219178082192,0.8904109589041096,1.5194611046178172
midas_umidas,exact,pre_advance,DELTA_SA,67,-4.064164765840514,6.651982867585456,0.8955223880597015,0.9552238805970149,15.21794736410381
midas_umidas,exact,pre_second,DELTA_TS,67,-4.033143398060923,1.263190301722378,0.8059701492537313,0.8955223880597015,1.9330890761311057
midas_umidas,exact,pre_third,DELTA_MT,61,-5.387812189673123,7.2598148946916625,0.639344262295082,0.7213114754098361,8.71601918387722
midas_umidas,pseudo,pre_advance,DELTA_SA,67,-4.03614891885651,6.376656662917687,0.8656716417910447,0.9552238805970149,14.514302670148913
midas_umidas,pseudo,pre_second,DELTA_TS,67,-4.037161164564724,1.2614013977460705,0.8208955223880597,0.8955223880597015,1.9345331851794665
midas_umidas,pseudo,pre_third,DELTA_MT,61,-5.3582858138387515,7.303287068955031,0.6557377049180327,0.7213114754098361,8.767013739683904
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,79,-0.855655717547225,0.30619249876417715,0.7974683544303798,0.9113924050632911,0.6056343117507194
monthly_mixed_frequency_kalman_em,exact,pre_second,DELTA_TS,79,-0.471351853041374,0.19646225874137288,0.8354430379746836,0.9367088607594937,0.38442648050865424
monthly_mixed_frequency_kalman_em,exact,pre_third,DELTA_MT,73,-1.8097986984050325,0.821732278684841,0.7397260273972602,0.8767123287671232,1.5021273502951489
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,DELTA_SA,79,-0.8551362698902989,0.30596439157006405,0.7974683544303798,0.9113924050632911,0.6056081419962484
monthly_mixed_frequency_kalman_em,pseudo,pre_second,DELTA_TS,79,-0.46916202194029527,0.1958827117448962,0.8354430379746836,0.9367088607594937,0.3844282645564011
monthly_mixed_frequency_kalman_em,pseudo,pre_third,DELTA_MT,73,-1.8098709716584478,0.8217290390488513,0.7397260273972602,0.8767123287671232,1.5021609867891839
no_revision,exact,pre_advance,DELTA_SA,67,-0.8833654489401548,0.30017969128674454,0.8656716417910447,0.9402985074626866,0.6909088366845302
no_revision,exact,pre_second,DELTA_TS,67,-0.6440372926656159,0.1968871989272367,0.7611940298507462,0.8656716417910447,0.34370429504138694
no_revision,exact,pre_third,DELTA_MT,61,-1.8187994076916743,0.8078676242822135,0.7377049180327869,0.8688524590163934,1.3759886679596682
no_revision,pseudo,pre_advance,DELTA_SA,67,-0.8833654489401548,0.30017969128674454,0.8656716417910447,0.9402985074626866,0.6909088366845302
no_revision,pseudo,pre_second,DELTA_TS,67,-0.6440372926656159,0.1968871989272367,0.7611940298507462,0.8656716417910447,0.34370429504138694
no_revision,pseudo,pre_third,DELTA_MT,61,-1.8187994076916743,0.8078676242822135,0.7377049180327869,0.8688524590163934,1.3759886679596682
release_dfm,exact,pre_advance,DELTA_SA,67,-1.0404653360891818,0.34174339352357186,0.8507462686567164,0.9253731343283582,0.724981373034357
release_dfm,exact,pre_second,DELTA_TS,67,-0.6377138437505702,0.19788753792200825,0.746268656716418,0.8656716417910447,0.35317571178326634
release_dfm,exact,pre_third,DELTA_MT,61,-1.8776722709249287,0.8648947249571333,0.7377049180327869,0.8524590163934426,1.4373639205898325
release_dfm,pseudo,pre_advance,DELTA_SA,67,-1.0382242346416566,0.34129160423720106,0.8507462686567164,0.9253731343283582,0.7243429176376879
release_dfm,pseudo,pre_second,DELTA_TS,67,-0.6377465438925689,0.19792774898342982,0.746268656716418,0.8656716417910447,0.3532358585971855
release_dfm,pseudo,pre_third,DELTA_MT,61,-1.878320957051884,0.8649306084298952,0.7377049180327869,0.8524590163934426,1.4363321329254255
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,79,-0.9693102614537934,0.3405429899800855,0.7974683544303798,0.8987341772151899,0.6519966411554893
revision_dfm_kalman_em,exact,pre_second,DELTA_TS,79,-0.4162933756052128,0.18378017240995187,0.8354430379746836,0.9493670886075949,0.37428857567421436
revision_dfm_kalman_em,exact,pre_third,DELTA_MT,73,-1.7782176929869955,0.7916741580129527,0.7808219178082192,0.8904109589041096,1.5187113049091285
revision_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,79,-0.9684468109332907,0.34033678880739,0.7974683544303798,0.8987341772151899,0.6519915587931729
revision_dfm_kalman_em,pseudo,pre_second,DELTA_TS,79,-0.41629195242918127,0.18377780315658926,0.8354430379746836,0.9493670886075949,0.3742901063084289
