timing_mode,checkpoint_id,outcome_id,baseline_model,model_id,target_quarter,loss_diff_baseline_minus_model,cumulative_loss_diff
exact,pre_advance,A,ar,bridge,2012:Q4,-8.166100960885938,28.772930160642982
exact,pre_advance,A,ar,bridge,2013:Q1,0.7861555844576769,29.55908574510066
exact,pre_advance,A,ar,bridge,2013:Q2,-0.3824613142293476,29.176624430871314
exact,pre_advance,A,ar,bridge,2013:Q3,-0.46677534104159424,28.70984908982972
exact,pre_advance,A,ar,bridge,2013:Q4,-0.039765412715874415,28.670083677113848
exact,pre_advance,A,ar,bridge,2014:Q1,3.920388840588136,32.59047251770198
exact,pre_advance,A,ar,bridge,2014:Q2,4.106194340754633,36.69666685845662
exact,pre_advance,A,ar,bridge,2014:Q3,-0.056094443733069724,36.64057241472354
exact,pre_advance,A,ar,bridge,2014:Q4,0.1575985164891277,36.798170931212674
exact,pre_advance,A,ar,bridge,2015:Q1,3.3836744740684486,40.18184540528112
exact,pre_advance,A,ar,bridge,2015:Q2,0.8610543008872912,41.04289970616841
exact,pre_advance,A,ar,bridge,2015:Q3,0.6136721270869122,41.65657183325533
exact,pre_advance,A,ar,bridge,2015:Q4,0.6515995292412713,42.3081713624966
exact,pre_advance,A,ar,bridge,2016:Q1,0.7787481652209838,43.08691952771758
exact,pre_advance,A,ar,bridge,2016:Q2,0.059797019294426566,43.14671654701201
exact,pre_advance,A,ar,bridge,2016:Q3,0.36377552260716206,43.510492069619175
exact,pre_advance,A,ar,bridge,2016:Q4,-0.7375381686773962,42.77295390094178
exact,pre_advance,A,ar,bridge,2017:Q1,-0.6640699525926914,42.10888394834909
exact,pre_advance,A,ar,bridge,2017:Q2,-0.12694577975501653,41.98193816859407
exact,pre_advance,A,ar,bridge,2017:Q3,-0.3142545493377593,41.66768361925631
exact,pre_advance,A,ar,bridge,2017:Q4,-1.1500300216843717,40.517653597571936
exact,pre_advance,A,ar,bridge,2018:Q1,-0.8594179119067495,39.65823568566519
exact,pre_advance,A,ar,bridge,2018:Q2,0.39498998888680337,40.053225674551996
exact,pre_advance,A,ar,bridge,2018:Q3,-0.1438588875744695,39.90936678697753
exact,pre_advance,A,ar,bridge,2018:Q4,0.09068553162124533,40.000052318598776
exact,pre_advance,A,ar,bridge,2019:Q1,-0.10760998024848467,39.89244233835029
exact,pre_advance,A,ar,bridge,2019:Q2,0.6089661755654483,40.50140851391574
exact,pre_advance,A,ar,bridge,2019:Q3,-0.33271829282384024,40.1686902210919
exact,pre_advance,A,ar,bridge,2019:Q4,-0.16781559230481113,40.00087462878709
exact,pre_advance,A,ar,bridge,2020:Q1,9.102458446038156,49.103333074825244
exact,pre_advance,A,ar,bridge,2020:Q2,532.6153717534219,581.7187048282472
exact,pre_advance,A,ar,bridge,2020:Q3,1642.8717471955658,2224.5904520238128
exact,pre_advance,A,ar,bridge,2020:Q4,-25.236584640080753,2199.353867383732
exact,pre_advance,A,ar,bridge,2021:Q1,12.991205256378652,2212.3450726401106
exact,pre_advance,A,ar,bridge,2021:Q2,15.009953845689985,2227.3550264858004
exact,pre_advance,A,ar,bridge,2021:Q3,-0.3051338757414128,2227.049892610059
exact,pre_advance,A,ar,bridge,2021:Q4,-0.5416554582639961,2226.508237151795
exact,pre_advance,A,ar,bridge,2022:Q1,-27.24056001814712,2199.267677133648
exact,pre_advance,A,ar,bridge,2022:Q2,2.3168008337014,2201.5844779673494
exact,pre_advance,A,ar,bridge,2022:Q3,-3.0659772522159,2198.5185007151335
exact,pre_advance,A,ar,bridge,2022:Q4,-18.358927656569044,2180.1595730585645
exact,pre_advance,A,ar,bridge,2023:Q1,1.746828477152817,2181.9064015357176
exact,pre_advance,A,ar,bridge,2023:Q2,-1.4069302895362061,2180.499471246181
exact,pre_advance,A,ar,bridge,2023:Q3,0.3615726347753414,2180.8610438809565
exact,pre_advance,A,ar,bridge,2023:Q4,-6.352938995644131,2174.508104885312
exact,pre_advance,A,ar,bridge,2024:Q1,0.7855773239734215,2175.2936822092856
exact,pre_advance,A,ar,bridge,2024:Q2,-0.6561092188970661,2174.6375729903884
exact,pre_advance,A,ar,bridge,2024:Q3,-0.07053545014004475,2174.5670375402483
exact,pre_advance,A,ar,bridge,2024:Q4,-0.00044289376299851135,2174.566594646485
exact,pre_advance,A,ar,indicator_revision_only_dfm_kalman_em,2005:Q1,-2.135402522774477,-2.135402522774477
exact,pre_advance,A,ar,indicator_revision_only_dfm_kalman_em,2005:Q2,-0.5082225477380682,-2.6436250705125452
exact,pre_advance,A,ar,indicator_revision_only_dfm_kalman_em,2005:Q3,0.5092377121349184,-2.134387358377627
exact,pre_advance,A,ar,indicator_revision_only_dfm_kalman_em,2005:Q4,-24.14472876213825,-26.279116120515877
exact,pre_advance,A,ar,indicator_revision_only_dfm_kalman_em,2006:Q1,8.351357815865374,-17.927758304650503
exact,pre_advance,A,ar,indicator_revision_only_dfm_kalman_em,2006:Q2,-3.237735323214472,-21.165493627864976
exact,pre_advance,A,ar,indicator_revision_only_dfm_kalman_em,2006:Q3,-3.2697206266256638,-24.43521425449064
exact,pre_advance,A,ar,indicator_revision_only_dfm_kalman_em,2006:Q4,-20.435645709311522,-44.87085996380216
exact,pre_advance,A,ar,indicator_revision_only_dfm_kalman_em,2007:Q1,2.493528913566701,-42.37733105023546
exact,pre_advance,A,ar,indicator_revision_only_dfm_kalman_em,2007:Q2,1.9224741037085562,-40.4548569465269
exact,pre_advance,A,ar,indicator_revision_only_dfm_kalman_em,2007:Q3,-39.294712008104185,-79.74956895463109
exact,pre_advance,A,ar,indicator_revision_only_dfm_kalman_em,2007:Q4,-5.678619661351032,-85.42818861598212
