model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count,run_label,source_dir,inferred_max_iter
standard_dfm,pseudo,pre_advance,DELTA_SA,79,0.6338363125019509,0.4299596413869149,-0.0005881868963518,0.9346658955076088,0.6050823892736792,0.5949367088607594,1.0,0.0,,,,0.0,0.0,sensitivity_k2_max_iter100,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter100,100
ar,pseudo,pre_second,DELTA_TS,79,0.4079162001920096,0.2599709855671533,0.0163794608735074,1.0,1.0,0.6075949367088608,1.0,0.0,,,,0.0,0.0,sensitivity_k2_max_iter100,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter100,100
bridge,pseudo,pre_second,DELTA_TS,79,0.4923442142946109,0.3585367459985785,0.0191735729055234,1.206973917836213,0.0004344439258213,0.6329113924050633,1.0,0.0,,,,0.0,0.0,sensitivity_k2_max_iter100,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter100,100
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,79,0.3613823734957444,0.237986075949367,-0.0544341772151898,0.8859230727429768,0.0909537041511906,0.0,1.0,30.367088607594937,9.21712356868063e-05,9.287026954974816e-05,9.958412568943588e-05,0.0,0.0,sensitivity_k2_max_iter100,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter100,100
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,79,0.3616712109329243,0.2391409179578362,-0.0522347253946632,0.8866311530718384,0.0968616560443181,0.4810126582278481,1.0,31.70886075949367,9.049006299849198e-05,9.059955096485514e-05,9.990929574622046e-05,0.0,0.0,sensitivity_k2_max_iter100,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter100,100
midas_umidas,pseudo,pre_second,DELTA_TS,79,3.124198318283663,1.2521986485221932,-0.0075092269105531,7.65892189820624,0.1166954203743538,0.6455696202531646,1.0,0.0,,,,0.0,0.0,sensitivity_k2_max_iter100,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter100,100
monthly_mixed_frequency_kalman_em,pseudo,pre_second,DELTA_TS,79,0.4436122337584564,0.2829222564595428,0.0357622416108431,1.0875082518165355,0.5700796225982734,0.5189873417721519,1.0,39.45569620253165,9.703038352007484e-05,9.715680947839254e-05,9.999453758722467e-05,0.0,0.0,sensitivity_k2_max_iter100,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter100,100
no_revision,pseudo,pre_second,DELTA_TS,79,0.3613823734957444,0.237986075949367,-0.0544341772151898,0.8859230727429768,0.0909537041511906,0.0,1.0,0.0,,,,0.0,0.0,sensitivity_k2_max_iter100,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter100,100
release_dfm,pseudo,pre_second,DELTA_TS,79,0.3673921523035461,0.245748799163502,-0.0228832735207332,0.9006559487723496,0.1212096669501351,0.569620253164557,1.0,0.0,,,,0.0,0.0,sensitivity_k2_max_iter100,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter100,100
revision_dfm_kalman_em,pseudo,pre_second,DELTA_TS,79,0.36208874198624,0.2385882564708231,-0.0505891666516855,0.887654723729535,0.0971798854579795,0.5063291139240507,1.0,34.67088607594937,9.559117144524185e-05,9.618218682141733e-05,9.9984314267327e-05,0.0,0.0,sensitivity_k2_max_iter100,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter100,100
spf,pseudo,pre_second,DELTA_TS,79,0.3613823734957444,0.237986075949367,-0.0544341772151898,0.8859230727429768,0.0909537041511906,0.0,1.0,0.0,,,,0.0,0.0,sensitivity_k2_max_iter100,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter100,100
