model_id,timing_mode,checkpoint_id,target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,initialization_seed,source_dir
standard_dfm,exact,pre_third,T,24,4.715453480578661,2.684247683599633,0.6366631304921145,0.3894906856891079,0.2037992411628434,0.875,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
ar,pseudo,pre_advance,A,24,12.772608971613195,5.0482671137361335,-0.8181744385362836,1.0,1.0,0.8333333333333334,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
bridge,pseudo,pre_advance,A,24,8.57175248854247,4.102188362811634,-0.2103809438448305,0.6711042753749822,0.2122060834856992,0.7916666666666666,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,24,5.5364195487612795,2.993494892031986,-0.3050843279952477,0.4334603494920915,0.182190249374437,0.9166666666666666,1.0,42.208333333333336,8.941676988175073e-05,9.128934316390936e-05,9.977105652579678e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,A,24,5.928365233806127,3.0854682224628824,-0.5021800519778953,0.4641467727526748,0.1783211210144142,0.9166666666666666,1.0,42.875,9.180496416938748e-05,9.27852739303216e-05,9.959864515987926e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
midas_umidas,pseudo,pre_advance,A,24,19.07419763136716,8.341473451371405,0.3227335191367274,1.493367382792277,0.1675279778650262,0.625,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,A,24,6.372048489471502,3.662854782857961,-0.5622620909727334,0.4988838618353713,0.215316279228297,0.875,1.0,33.583333333333336,9.53514690563172e-05,9.5881518023639e-05,9.994961427668048e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
no_revision,pseudo,pre_advance,A,24,13.017943149641257,5.570252771236277,-1.2816524947503103,1.019207835969402,0.0427782563414429,0.75,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
release_dfm,pseudo,pre_advance,A,24,5.200843973728273,2.9027069219652906,0.6681139936276147,0.4071872853296471,0.217039610779908,0.875,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
revision_dfm_kalman_em,pseudo,pre_advance,A,24,5.749226577345276,3.198872353448021,-0.4772008651018553,0.4501215523095389,0.1922602805654976,0.9166666666666666,1.0,26.166666666666668,9.474380110492117e-05,9.499165755126336e-05,9.96935660818169e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
standard_dfm,pseudo,pre_advance,A,24,5.200843973728273,2.9027069219652906,0.6681139936276147,0.4071872853296471,0.217039610779908,0.875,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
ar,pseudo,pre_second,S,24,12.239075796986006,4.8895026607216865,-0.6506450334454126,1.0,1.0,0.8333333333333334,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
bridge,pseudo,pre_second,S,24,7.895453439263908,3.831513069968876,-0.1872931857587924,0.6451020951441645,0.2041415946503477,0.8333333333333334,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,S,24,0.4151272751494006,0.3057383228977357,-0.0380737177792606,0.0339181881079313,0.1723513184609989,1.0,1.0,44.166666666666664,9.139226292283308e-05,9.184212873218993e-05,9.883543137058216e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,S,24,0.5775030992874172,0.4018297044095659,0.0166470081907056,0.0471851885605311,0.1726474187260539,1.0,1.0,43.75,8.963686734509748e-05,9.315177074787788e-05,9.946346725004998e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
midas_umidas,pseudo,pre_second,S,24,7.675616267213431,2.925920368543641,0.483748537184979,0.6271401856260771,0.2532960616836438,1.0,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
monthly_mixed_frequency_kalman_em,pseudo,pre_second,S,24,0.4853307494063903,0.2801774934737178,-0.0253188512206206,0.0396541991778421,0.172356547452667,1.0,1.0,35.416666666666664,9.507071860059328e-05,9.47677659367516e-05,9.989107895116456e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
no_revision,pseudo,pre_second,S,24,0.3091344361007569,0.1937374999999998,-0.0706791666666665,0.0252579885302192,0.172108511771336,1.0,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
