model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement
monthly_mixed_frequency_kalman_em,exact,pre_third,DELTA_MT,80,1.3870551593528189,1.0961304186237846,0.0060413078294595576,0.4578343540040874,0.09521038844786572,0.3875,1.0,42.5875,9.440200811054625e-05,9.586332524593056e-05,9.999501178932916e-05
no_revision,exact,pre_third,DELTA_MT,80,1.338732745080212,1.05551,-0.03200500000000002,0.4418842591767559,0.08844962478017648,0.0,1.0,0.0,,,
release_dfm,exact,pre_third,DELTA_MT,80,1.3863112684082792,1.0670112467029451,0.41176470475757093,0.45758881306236904,0.08669241072934918,0.525,1.0,0.0,,,
revision_dfm_kalman_em,exact,pre_third,DELTA_MT,80,1.3404209621247674,1.0570151829057728,-0.030245338780872655,0.4424415000008146,0.08867211193194832,0.4625,1.0,24.5375,9.293437404244215e-05,9.321138048474741e-05,9.965469673331925e-05
standard_dfm,exact,pre_third,DELTA_MT,80,1.624228257791057,1.2353701363396288,0.1520240790894632,0.536119627360688,0.09618393529655626,0.45,1.0,0.0,,,
ar,pseudo,pre_advance,DELTA_SA,79,0.6781421206748107,0.4682494597319136,0.0830363873945812,1.0,1.0,0.5316455696202531,1.0,0.0,,,
bridge,pseudo,pre_advance,DELTA_SA,79,0.7221269467369031,0.499362314943248,0.0016771364521281917,1.0648607787676183,0.5708985983339679,0.5316455696202531,1.0,0.0,,,
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,79,0.5696627235545563,0.3997025316455696,-0.06579873417721517,0.8400344207902792,0.13796434092086865,0.0,1.0,31.962025316455698,8.977864824016336e-05,9.329888069227143e-05,9.956915879045996e-05
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,79,0.6370253358670854,0.4726672626085349,0.07691502960589831,0.9393684840475467,0.5403471472795041,0.6075949367088608,1.0,32.177215189873415,9.150739076926157e-05,9.349471607958422e-05,9.957269644339934e-05
midas_umidas,pseudo,pre_advance,DELTA_SA,79,13.49715297083284,7.690336465637759,1.1852625841386357,19.903133221399067,0.003471352027542925,0.4430379746835443,1.0,0.0,,,
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,DELTA_SA,79,0.6398871203375497,0.41478978173552705,0.04038831185949479,0.9435885205018766,0.6578806332399709,0.6582278481012658,1.0,41.29113924050633,9.43345378036548e-05,9.583650128820911e-05,9.994961427668047e-05
no_revision,pseudo,pre_advance,DELTA_SA,79,0.5696627235545563,0.3997025316455696,-0.06579873417721517,0.8400344207902792,0.13796434092086865,0.0,1.0,0.0,,,
release_dfm,pseudo,pre_advance,DELTA_SA,79,0.6405783165541691,0.42694074858486186,-0.007591496798546806,0.9446077702956095,0.690593595402946,0.5949367088607594,1.0,0.0,,,
revision_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,79,0.6291408533109707,0.4371281313139207,0.07446478126433338,0.9277418908663578,0.5177434883228677,0.6582278481012658,1.0,24.620253164556964,9.373768800575763e-05,9.301502304353243e-05,9.99444316614338e-05
standard_dfm,pseudo,pre_advance,DELTA_SA,79,0.6405783165541691,0.42694074858486186,-0.007591496798546806,0.9446077702956095,0.690593595402946,0.5949367088607594,1.0,0.0,,,
ar,pseudo,pre_second,DELTA_TS,79,0.40791620019200964,0.2599709855671533,0.01637946087350748,1.0,1.0,0.6075949367088608,1.0,0.0,,,
bridge,pseudo,pre_second,DELTA_TS,79,0.49234421429461095,0.3585367459985785,0.019173572905523448,1.2069739178362133,0.0004344439258213594,0.6329113924050633,1.0,0.0,,,
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,79,0.3613823734957444,0.23798607594936708,-0.05443417721518989,0.8859230727429768,0.09095370415119064,0.0,1.0,31.835443037974684,9.137192042759255e-05,9.539247287019404e-05,9.970365798388255e-05
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,79,0.3619222526210434,0.23884201209866737,-0.0507186131724544,0.8872465777301404,0.0963538751305302,0.5189873417721519,1.0,32.36708860759494,9.176490469476062e-05,9.360424446466443e-05,9.975865629444102e-05
midas_umidas,pseudo,pre_second,DELTA_TS,79,3.124198318283663,1.2521986485221932,-0.007509226910553151,7.6589218982062395,0.11669542037435383,0.6455696202531646,1.0,0.0,,,
monthly_mixed_frequency_kalman_em,pseudo,pre_second,DELTA_TS,79,0.37652832966702166,0.2581558326421823,0.0036636124747708074,0.9230531405464812,0.3747686573637075,0.5569620253164557,1.0,42.43037974683544,9.398318302518718e-05,9.545835473294451e-05,9.989107895116457e-05
no_revision,pseudo,pre_second,DELTA_TS,79,0.3613823734957444,0.23798607594936708,-0.05443417721518989,0.8859230727429768,0.09095370415119064,0.0,1.0,0.0,,,
release_dfm,pseudo,pre_second,DELTA_TS,79,0.3638289418724509,0.24238972923091198,-0.020815017902629164,0.8919207957447964,0.10088268375966587,0.5822784810126582,1.0,0.0,,,
revision_dfm_kalman_em,pseudo,pre_second,DELTA_TS,79,0.36171025184875427,0.23852544453605778,-0.05076905453500826,0.8867268612486932,0.09551858590921392,0.569620253164557,1.0,24.82278481012658,9.368912936190407e-05,9.363989350836496e-05,9.986307100241731e-05
standard_dfm,pseudo,pre_second,DELTA_TS,79,0.36710910374468614,0.246532087289017,0.002236135468586998,0.8999620597855265,0.1296798406899703,0.5822784810126582,1.0,0.0,,,
ar,pseudo,pre_third,DELTA_MT,80,3.029600437848392,1.7654017002683489,0.3284006384956069,1.0,1.0,0.4625,1.0,0.0,,,
bridge,pseudo,pre_third,DELTA_MT,80,1.9653080627902275,1.4891696702152246,-0.08570893499348912,0.648702065869115,0.1938867361111667,0.4625,1.0,0.0,,,
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,80,1.338732745080212,1.05551,-0.03200500000000002,0.4418842591767559,0.08844962478017648,0.0,1.0,31.025,9.194657880959626e-05,9.419725798411242e-05,9.993993631184371e-05
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,80,1.3403510243989112,1.0571876798487263,-0.030491425005881468,0.4424184151989436,0.08864651554465726,0.4125,1.0,32.4125,9.391733870095575e-05,9.42091235380895e-05,9.985117018023644e-05
midas_umidas,pseudo,pre_third,DELTA_MT,80,7.8417267009178495,5.413922239510515,1.7588847863957788,2.5883699391352764,0.001334399167598663,0.4875,1.0,0.0,,,
monthly_mixed_frequency_kalman_em,pseudo,pre_third,DELTA_MT,80,1.387505042955416,1.0967019156716922,0.00501918955157919,0.45798285002256456,0.0952670987451363,0.3875,1.0,42.9875,9.419491495521817e-05,9.565707396611082e-05,9.996162498274964e-05
no_revision,pseudo,pre_third,DELTA_MT,80,1.338732745080212,1.05551,-0.03200500000000002,0.4418842591767559,0.08844962478017648,0.0,1.0,0.0,,,
release_dfm,pseudo,pre_third,DELTA_MT,80,1.3855161436381087,1.0661529880343459,0.41242905096468857,0.4573263610372646,0.08658296570299101,0.525,1.0,0.0,,,
revision_dfm_kalman_em,pseudo,pre_third,DELTA_MT,80,1.340420250574464,1.0570143316989995,-0.030252431965484394,0.4424412651347595,0.08867203798570708,0.4625,1.0,24.55,9.297924988184345e-05,9.3211375161093e-05,9.965571978906267e-05
standard_dfm,pseudo,pre_third,DELTA_MT,80,1.6219433758649806,1.2335856445935294,0.15165276672684927,0.5353654414629267,0.09585423640627043,0.45,1.0,0.0,,,
