model_id,timing_mode,checkpoint_id,outcome_id,threshold_abs_revision,n_obs,sign_accuracy,balanced_accuracy,actual_positive_pred_positive,actual_positive_pred_nonpositive,actual_negative_pred_positive,actual_negative_pred_nonpositive,mean_abs_realized_revision,mean_abs_forecast_revision
ar,pseudo,pre_second,DELTA_TS,0.0,77,0.5974025974025974,0.5375886524822695,38,9,22,8,0.2351532467532467,0.12948231972429577
ar,pseudo,pre_second,DELTA_TS,0.1,49,0.6122448979591837,0.5238970588235294,26,6,13,4,0.3465244897959183,0.13563013751121214
ar,pseudo,pre_second,DELTA_TS,0.2,36,0.6666666666666666,0.5538461538461539,21,5,7,3,0.4171083333333333,0.1530580104548606
ar,pseudo,pre_third,DELTA_MT,0.0,78,0.44871794871794873,0.44539473684210523,23,17,26,12,1.0207653846153844,0.977862321589168
ar,pseudo,pre_third,DELTA_MT,0.1,73,0.410958904109589,0.4125375375375375,19,17,26,11,1.0881534246575342,0.9524543778701978
ar,pseudo,pre_third,DELTA_MT,0.2,66,0.42424242424242425,0.4209558823529412,18,16,22,10,1.1870863636363636,1.0221880592586379
bridge,exact,pre_advance,DELTA_SA,0.0,77,0.5454545454545454,0.5010638297872341,33,14,21,9,0.39431818181818185,0.24607101704521417
bridge,exact,pre_advance,DELTA_SA,0.1,60,0.55,0.5138888888888888,25,11,16,8,0.4930366666666667,0.26158816275730756
bridge,exact,pre_advance,DELTA_SA,0.2,51,0.6078431372549019,0.5592105263157895,24,8,12,7,0.5549509803921567,0.26249650166013433
bridge,exact,pre_second,DELTA_TS,0.0,77,0.6103896103896104,0.5843971631205673,33,14,16,14,0.2351532467532467,0.268759625593926
bridge,exact,pre_second,DELTA_TS,0.1,49,0.6530612244897959,0.6102941176470589,24,8,9,8,0.3465244897959183,0.24325009221322752
bridge,exact,pre_second,DELTA_TS,0.2,36,0.7222222222222222,0.6538461538461539,21,5,5,5,0.4171083333333333,0.2608506546194133
bridge,exact,pre_third,DELTA_MT,0.0,78,0.47435897435897434,0.4743421052631579,19,21,20,18,1.0207653846153844,0.8608348544572669
bridge,exact,pre_third,DELTA_MT,0.1,73,0.4520547945205479,0.4519519519519519,16,20,20,17,1.0881534246575342,0.8689892195776598
bridge,exact,pre_third,DELTA_MT,0.2,66,0.4696969696969697,0.4696691176470588,16,18,17,15,1.1870863636363636,0.9022813138808302
bridge,pseudo,pre_advance,DELTA_SA,0.0,77,0.5454545454545454,0.5010638297872341,33,14,21,9,0.39431818181818185,0.24874735806594261
bridge,pseudo,pre_advance,DELTA_SA,0.1,60,0.55,0.5138888888888888,25,11,16,8,0.4930366666666667,0.2659183010109604
bridge,pseudo,pre_advance,DELTA_SA,0.2,51,0.6078431372549019,0.5592105263157895,24,8,12,7,0.5549509803921567,0.26741580748403015
bridge,pseudo,pre_second,DELTA_TS,0.0,77,0.6233766233766234,0.6070921985815603,32,15,14,16,0.2351532467532467,0.2699026996316848
bridge,pseudo,pre_second,DELTA_TS,0.1,49,0.6530612244897959,0.6240808823529411,23,9,8,9,0.3465244897959183,0.2449738591838191
bridge,pseudo,pre_second,DELTA_TS,0.2,36,0.7222222222222222,0.6846153846153846,20,6,4,6,0.4171083333333333,0.2634069932888947
bridge,pseudo,pre_third,DELTA_MT,0.0,78,0.46153846153846156,0.4618421052631579,18,22,20,18,1.0207653846153844,0.8613208486544798
bridge,pseudo,pre_third,DELTA_MT,0.1,73,0.4383561643835616,0.4380630630630631,15,21,20,17,1.0881534246575342,0.8695989914204394
bridge,pseudo,pre_third,DELTA_MT,0.2,66,0.45454545454545453,0.45496323529411764,15,19,17,15,1.1870863636363636,0.9031860803000158
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,0.0,77,0.0,0.5,0,47,0,30,0.39431818181818185,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,0.1,60,0.0,0.5,0,36,0,24,0.4930366666666667,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,0.2,51,0.0,0.5,0,32,0,19,0.5549509803921567,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,0.0,77,0.0,0.5,0,47,0,30,0.2351532467532467,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,0.1,49,0.0,0.5,0,32,0,17,0.3465244897959183,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,0.2,36,0.0,0.5,0,26,0,10,0.4171083333333333,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,0.0,78,0.0,0.5,0,40,0,38,1.0207653846153844,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,0.1,73,0.0,0.5,0,36,0,37,1.0881534246575342,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,0.2,66,0.0,0.5,0,34,0,32,1.1870863636363636,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,0.0,77,0.0,0.5,0,47,0,30,0.39431818181818185,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,0.1,60,0.0,0.5,0,36,0,24,0.4930366666666667,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,0.2,51,0.0,0.5,0,32,0,19,0.5549509803921567,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,0.0,77,0.0,0.5,0,47,0,30,0.2351532467532467,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,0.1,49,0.0,0.5,0,32,0,17,0.3465244897959183,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,0.2,36,0.0,0.5,0,26,0,10,0.4171083333333333,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,0.0,78,0.0,0.5,0,40,0,38,1.0207653846153844,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,0.1,73,0.0,0.5,0,36,0,37,1.0881534246575342,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,0.2,66,0.0,0.5,0,34,0,32,1.1870863636363636,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,0.0,77,0.6363636363636364,0.5815602836879432,39,8,20,10,0.39431818181818185,0.23761581872461712
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,0.1,60,0.6666666666666666,0.611111111111111,32,4,16,8,0.4930366666666667,0.2134870054012662
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,0.2,51,0.7058823529411765,0.6480263157894737,28,4,11,8,0.5549509803921567,0.21154247733964845
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,0.0,77,0.5194805194805194,0.47375886524822697,32,15,22,8,0.2351532467532467,0.00675512709951726
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,0.1,49,0.5306122448979592,0.4476102941176471,23,9,14,3,0.3465244897959183,0.006589041715334643
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,0.2,36,0.5833333333333334,0.4653846153846154,19,7,8,2,0.4171083333333333,0.006944516672121779
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,0.0,78,0.3974358974358974,0.39539473684210524,19,21,26,12,1.0207653846153844,0.005943161150213181
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,0.1,73,0.3835616438356164,0.3843843843843844,16,20,25,12,1.0881534246575342,0.006104378791452944
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,0.2,66,0.36363636363636365,0.36121323529411764,15,19,23,9,1.1870863636363636,0.0061305534603428805
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,0.0,77,0.6233766233766234,0.5648936170212766,39,8,21,9,0.39431818181818185,0.23402247742125054
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,0.1,60,0.65,0.5902777777777778,32,4,17,7,0.4930366666666667,0.20882949818405905
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,0.2,51,0.6862745098039216,0.6217105263157895,28,4,12,7,0.5549509803921567,0.20666248630400097
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,0.0,77,0.5194805194805194,0.47375886524822697,32,15,22,8,0.2351532467532467,0.00675976823558136
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,0.1,49,0.5306122448979592,0.4476102941176471,23,9,14,3,0.3465244897959183,0.006603625483445672
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,0.2,36,0.5833333333333334,0.4653846153846154,19,7,8,2,0.4171083333333333,0.006967997869754181
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,0.0,78,0.3974358974358974,0.39539473684210524,19,21,26,12,1.0207653846153844,0.005939997656806021
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,0.1,73,0.3835616438356164,0.3843843843843844,16,20,25,12,1.0881534246575342,0.006100966499543953
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,0.2,66,0.36363636363636365,0.36121323529411764,15,19,23,9,1.1870863636363636,0.006125603111282849
midas_umidas,exact,pre_advance,DELTA_SA,0.0,77,0.4155844155844156,0.3946808510638298,23,24,21,9,0.39431818181818185,6.661322029024118
midas_umidas,exact,pre_advance,DELTA_SA,0.1,60,0.4,0.3819444444444444,17,19,17,7,0.4930366666666667,7.945086465765491
midas_umidas,exact,pre_advance,DELTA_SA,0.2,51,0.4117647058823529,0.39226973684210525,15,17,13,6,0.5549509803921567,8.630253862041846
midas_umidas,exact,pre_second,DELTA_TS,0.0,77,0.6883116883116883,0.6843971631205674,33,14,10,20,0.2351532467532467,0.8345839494406899
midas_umidas,exact,pre_second,DELTA_TS,0.1,49,0.673469387755102,0.6810661764705883,21,11,5,12,0.3465244897959183,0.807964618027771
midas_umidas,exact,pre_second,DELTA_TS,0.2,36,0.75,0.7653846153846153,19,7,2,8,0.4171083333333333,0.9231906594596668
midas_umidas,exact,pre_third,DELTA_MT,0.0,78,0.47435897435897434,0.47171052631578947,23,17,24,14,1.0207653846153844,4.814685987336459
midas_umidas,exact,pre_third,DELTA_MT,0.1,73,0.4657534246575342,0.4673423423423424,21,15,24,13,1.0881534246575342,4.611976037793308
midas_umidas,exact,pre_third,DELTA_MT,0.2,66,0.4696969696969697,0.46599264705882354,20,14,21,11,1.1870863636363636,4.68529126731043
midas_umidas,pseudo,pre_advance,DELTA_SA,0.0,77,0.42857142857142855,0.40531914893617016,24,23,21,9,0.39431818181818185,6.40411096459768
midas_umidas,pseudo,pre_advance,DELTA_SA,0.1,60,0.4166666666666667,0.39583333333333337,18,18,17,7,0.4930366666666667,7.578094213367561
midas_umidas,pseudo,pre_advance,DELTA_SA,0.2,51,0.43137254901960786,0.40789473684210525,16,16,13,6,0.5549509803921567,8.264741971052587
midas_umidas,pseudo,pre_second,DELTA_TS,0.0,77,0.6493506493506493,0.6464539007092198,31,16,11,19,0.2351532467532467,0.8367175533754879
midas_umidas,pseudo,pre_second,DELTA_TS,0.1,49,0.6326530612244898,0.6498161764705883,19,13,5,12,0.3465244897959183,0.8088860743936788
midas_umidas,pseudo,pre_second,DELTA_TS,0.2,36,0.6944444444444444,0.726923076923077,17,9,2,8,0.4171083333333333,0.9176258223827823
midas_umidas,pseudo,pre_third,DELTA_MT,0.0,78,0.47435897435897434,0.47171052631578947,23,17,24,14,1.0207653846153844,4.793060354419793
midas_umidas,pseudo,pre_third,DELTA_MT,0.1,73,0.4657534246575342,0.4673423423423424,21,15,24,13,1.0881534246575342,4.586469945550364
midas_umidas,pseudo,pre_third,DELTA_MT,0.2,66,0.45454545454545453,0.45128676470588236,19,15,21,11,1.1870863636363636,4.669536453509193
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,0.0,77,0.6753246753246753,0.601418439716312,44,3,22,8,0.39431818181818185,0.16309557900822264
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,0.1,60,0.6666666666666666,0.5972222222222222,34,2,18,6,0.4930366666666667,0.16589313622579663
