timing_mode,checkpoint_id,outcome_id,model_id,revision_size_bin,n_obs,mean_squared_loss_gain_vs_no_revision,share_positive_loss_gain,mean_official_revision,mean_abs_official_revision
exact,pre_third,T,release_dfm,abs_le_0p1,1,0.0003278161706219006,1.0,0.03810000000000002,0.03810000000000002
exact,pre_third,T,release_dfm,abs_0p1_0p2,2,0.017661247874602902,1.0,0.13234999999999997,0.13234999999999997
exact,pre_third,T,release_dfm,abs_0p2_0p5,1,0.03638690557807259,1.0,0.23939999999999984,0.23939999999999984
exact,pre_third,T,revision_dfm_kalman_em,abs_le_0p1,1,-0.00196574707345854,0.0,0.03810000000000002,0.03810000000000002
exact,pre_third,T,revision_dfm_kalman_em,abs_0p1_0p2,2,-0.02854619274646588,0.5,0.13234999999999997,0.13234999999999997
exact,pre_third,T,revision_dfm_kalman_em,abs_0p2_0p5,1,-0.04807674877300595,0.0,0.23939999999999984,0.23939999999999984
exact,pre_third,T,spf,abs_le_0p1,1,-0.9636581500000003,0.0,0.03810000000000002,0.03810000000000002
exact,pre_third,T,spf,abs_0p1_0p2,2,-0.3628176000000001,0.0,0.13234999999999997,0.13234999999999997
exact,pre_third,T,spf,abs_0p2_0p5,1,-1.3894154800000005,0.0,0.23939999999999984,0.23939999999999984
exact,pre_third,T,standard_dfm,abs_le_0p1,1,-0.20012682457627504,0.0,0.03810000000000002,0.03810000000000002
exact,pre_third,T,standard_dfm,abs_0p1_0p2,2,-0.08285881169301847,0.5,0.13234999999999997,0.13234999999999997
exact,pre_third,T,standard_dfm,abs_0p2_0p5,1,-0.8200408650033775,0.0,0.23939999999999984,0.23939999999999984
pseudo,pre_second,S,ar,abs_le_0p1,2,-0.053969113654741045,0.0,0.05135000000000001,0.05135000000000001
pseudo,pre_second,S,ar,abs_0p1_0p2,1,-0.18710051598747035,0.0,0.11129999999999995,0.11129999999999995
pseudo,pre_second,S,ar,abs_0p2_0p5,1,-1.7483139650320858,0.0,-0.3404999999999998,0.3404999999999998
pseudo,pre_second,S,bridge,abs_le_0p1,2,-0.0865217092964068,0.0,0.05135000000000001,0.05135000000000001
pseudo,pre_second,S,bridge,abs_0p1_0p2,1,0.00838986328806566,1.0,0.11129999999999995,0.11129999999999995
pseudo,pre_second,S,bridge,abs_0p2_0p5,1,0.09322075437071263,1.0,-0.3404999999999998,0.3404999999999998
pseudo,pre_second,S,indicator_revision_only_dfm_kalman_em,abs_le_0p1,2,-0.022138900936411507,0.5,0.05135000000000001,0.05135000000000001
pseudo,pre_second,S,indicator_revision_only_dfm_kalman_em,abs_0p1_0p2,1,-0.006133628710070777,0.0,0.11129999999999995,0.11129999999999995
pseudo,pre_second,S,indicator_revision_only_dfm_kalman_em,abs_0p2_0p5,1,-0.24189520563871497,0.0,-0.3404999999999998,0.3404999999999998
pseudo,pre_second,S,joint_indicator_revision_dfm_full_kalman_em,abs_le_0p1,2,-0.021151913992955837,0.0,0.05135000000000001,0.05135000000000001
pseudo,pre_second,S,joint_indicator_revision_dfm_full_kalman_em,abs_0p1_0p2,1,-0.0001762120694511725,0.0,0.11129999999999995,0.11129999999999995
pseudo,pre_second,S,joint_indicator_revision_dfm_full_kalman_em,abs_0p2_0p5,1,-0.48470258336729655,0.0,-0.3404999999999998,0.3404999999999998
pseudo,pre_second,S,midas_umidas,abs_le_0p1,2,-1.1551582050799327,0.0,0.05135000000000001,0.05135000000000001
pseudo,pre_second,S,midas_umidas,abs_0p1_0p2,1,-0.10467347728204063,0.0,0.11129999999999995,0.11129999999999995
pseudo,pre_second,S,midas_umidas,abs_0p2_0p5,1,0.11528468211061846,1.0,-0.3404999999999998,0.3404999999999998
pseudo,pre_second,S,monthly_mixed_frequency_kalman_em,abs_le_0p1,2,-0.025323898174860797,0.0,0.05135000000000001,0.05135000000000001
pseudo,pre_second,S,monthly_mixed_frequency_kalman_em,abs_0p1_0p2,1,-0.09214865055560957,0.0,0.11129999999999995,0.11129999999999995
pseudo,pre_second,S,monthly_mixed_frequency_kalman_em,abs_0p2_0p5,1,-0.1760530784298121,0.0,-0.3404999999999998,0.3404999999999998
pseudo,pre_second,S,release_dfm,abs_le_0p1,2,-0.002116597392949794,0.5,0.05135000000000001,0.05135000000000001
pseudo,pre_second,S,release_dfm,abs_0p1_0p2,1,0.01235361367623427,1.0,0.11129999999999995,0.11129999999999995
pseudo,pre_second,S,release_dfm,abs_0p2_0p5,1,-0.09717773760284805,0.0,-0.3404999999999998,0.3404999999999998
pseudo,pre_second,S,revision_dfm_kalman_em,abs_le_0p1,2,-0.007534856478405537,0.5,0.05135000000000001,0.05135000000000001
pseudo,pre_second,S,revision_dfm_kalman_em,abs_0p1_0p2,1,0.01237150292029918,1.0,0.11129999999999995,0.11129999999999995
pseudo,pre_second,S,revision_dfm_kalman_em,abs_0p2_0p5,1,-0.4434710715135406,0.0,-0.3404999999999998,0.3404999999999998
pseudo,pre_second,S,spf,abs_le_0p1,2,-0.5567747749999999,0.0,0.05135000000000001,0.05135000000000001
pseudo,pre_second,S,spf,abs_0p1_0p2,1,-0.8793148000000001,0.0,0.11129999999999995,0.11129999999999995
pseudo,pre_second,S,spf,abs_0p2_0p5,1,-0.5933605900000003,0.0,-0.3404999999999998,0.3404999999999998
pseudo,pre_second,S,standard_dfm,abs_le_0p1,2,-0.22605667405545568,0.5,0.05135000000000001,0.05135000000000001
pseudo,pre_second,S,standard_dfm,abs_0p1_0p2,1,-0.1599114909833499,0.0,0.11129999999999995,0.11129999999999995
pseudo,pre_second,S,standard_dfm,abs_0p2_0p5,1,0.045445184545841316,1.0,-0.3404999999999998,0.3404999999999998
pseudo,pre_third,T,ar,abs_le_0p1,1,-0.163341856265736,0.0,0.03810000000000002,0.03810000000000002
pseudo,pre_third,T,ar,abs_0p1_0p2,2,-0.8258981544705147,0.0,0.13234999999999997,0.13234999999999997
pseudo,pre_third,T,ar,abs_0p2_0p5,1,-0.10893601961242862,0.0,0.23939999999999984,0.23939999999999984
pseudo,pre_third,T,bridge,abs_le_0p1,1,0.000980277116837383,1.0,0.03810000000000002,0.03810000000000002
pseudo,pre_third,T,bridge,abs_0p1_0p2,2,-0.0628444281362211,0.5,0.13234999999999997,0.13234999999999997
pseudo,pre_third,T,bridge,abs_0p2_0p5,1,-0.42964554984855746,0.0,0.23939999999999984,0.23939999999999984
pseudo,pre_third,T,indicator_revision_only_dfm_kalman_em,abs_le_0p1,1,-0.010462649827639848,0.0,0.03810000000000002,0.03810000000000002
pseudo,pre_third,T,indicator_revision_only_dfm_kalman_em,abs_0p1_0p2,2,-0.012371690938630431,0.5,0.13234999999999997,0.13234999999999997
pseudo,pre_third,T,indicator_revision_only_dfm_kalman_em,abs_0p2_0p5,1,-0.0917136125943644,0.0,0.23939999999999984,0.23939999999999984
pseudo,pre_third,T,joint_indicator_revision_dfm_full_kalman_em,abs_le_0p1,1,-0.0051336049870648725,0.0,0.03810000000000002,0.03810000000000002
pseudo,pre_third,T,joint_indicator_revision_dfm_full_kalman_em,abs_0p1_0p2,2,-0.03538331517068102,0.5,0.13234999999999997,0.13234999999999997
pseudo,pre_third,T,joint_indicator_revision_dfm_full_kalman_em,abs_0p2_0p5,1,-0.07070309674702506,0.0,0.23939999999999984,0.23939999999999984
pseudo,pre_third,T,midas_umidas,abs_le_0p1,1,-0.5928164713172125,0.0,0.03810000000000002,0.03810000000000002
pseudo,pre_third,T,midas_umidas,abs_0p1_0p2,2,-0.11005152994615809,0.5,0.13234999999999997,0.13234999999999997
pseudo,pre_third,T,midas_umidas,abs_0p2_0p5,1,-0.11170105207752466,0.0,0.23939999999999984,0.23939999999999984
pseudo,pre_third,T,monthly_mixed_frequency_kalman_em,abs_le_0p1,1,-0.06511209900870012,0.0,0.03810000000000002,0.03810000000000002
pseudo,pre_third,T,monthly_mixed_frequency_kalman_em,abs_0p1_0p2,2,-0.0689233250950434,0.5,0.13234999999999997,0.13234999999999997
pseudo,pre_third,T,monthly_mixed_frequency_kalman_em,abs_0p2_0p5,1,-0.12481548510495062,0.0,0.23939999999999984,0.23939999999999984
pseudo,pre_third,T,release_dfm,abs_le_0p1,1,0.0003944843338390717,1.0,0.03810000000000002,0.03810000000000002
pseudo,pre_third,T,release_dfm,abs_0p1_0p2,2,0.017666873106519796,1.0,0.13234999999999997,0.13234999999999997
pseudo,pre_third,T,release_dfm,abs_0p2_0p5,1,0.03635541411754464,1.0,0.23939999999999984,0.23939999999999984
pseudo,pre_third,T,revision_dfm_kalman_em,abs_le_0p1,1,-0.0019014445049730718,0.0,0.03810000000000002,0.03810000000000002
pseudo,pre_third,T,revision_dfm_kalman_em,abs_0p1_0p2,2,-0.03159920807359043,0.5,0.13234999999999997,0.13234999999999997
pseudo,pre_third,T,revision_dfm_kalman_em,abs_0p2_0p5,1,-0.04724945222525212,0.0,0.23939999999999984,0.23939999999999984
pseudo,pre_third,T,spf,abs_le_0p1,1,-0.9636581500000003,0.0,0.03810000000000002,0.03810000000000002
