subsample,model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,relative_RMSFE,DM_test_vs_ar_normal_approx
full_sample,monthly_mixed_frequency_kalman_em,pseudo,pre_second,DELTA_TS,4,0.15022722620164708,0.11861101594424545,-0.11861101594424545,0.5,0.0,2.0,0.06722689074905971,0.0671268232173625,0.0692918165127018,1.5268937125235555,
full_sample,monthly_mixed_frequency_kalman_em,pseudo,pre_third,DELTA_MT,4,0.5905979298053492,0.5700859343503866,0.09852629282308614,0.0,0.0,2.0,0.06629039936435117,0.065580461552388,0.0686780594874258,0.9380542812124321,
full_sample,no_revision,exact,pre_advance,DELTA_SA,4,0.18521783796384184,0.13862499999999994,0.03162499999999998,0.0,1.0,0.0,,,,0.8319995210226065,
full_sample,no_revision,exact,pre_second,DELTA_TS,4,0.15440160297095354,0.13554999999999992,-0.13554999999999992,0.0,1.0,0.0,,,,1.5693216385654232,
full_sample,no_revision,exact,pre_third,DELTA_MT,4,0.5274127178974736,0.5086,0.07469999999999992,0.0,1.0,0.0,,,,0.8376963971964279,
full_sample,no_revision,pseudo,pre_advance,DELTA_SA,4,0.18521783796384184,0.13862499999999994,0.03162499999999998,0.0,1.0,0.0,,,,0.8319995210226065,
full_sample,no_revision,pseudo,pre_second,DELTA_TS,4,0.15440160297095354,0.13554999999999992,-0.13554999999999992,0.0,1.0,0.0,,,,1.5693216385654232,
full_sample,no_revision,pseudo,pre_third,DELTA_MT,4,0.5274127178974736,0.5086,0.07469999999999992,0.0,1.0,0.0,,,,0.8376963971964279,
full_sample,release_dfm,exact,pre_advance,DELTA_SA,4,0.2217168052840871,0.13474201905901542,0.12464520244634165,0.75,1.0,0.0,,,,0.9959530778835396,
full_sample,release_dfm,exact,pre_second,DELTA_TS,4,0.11263635239556764,0.09152721133757843,-0.08501054023159103,1.0,1.0,0.0,,,,1.144824028392359,
full_sample,release_dfm,exact,pre_third,DELTA_MT,4,0.6476687847705994,0.5579266076178504,0.3111794916057876,0.5,1.0,0.0,,,,1.0287006535257437,
full_sample,release_dfm,pseudo,pre_advance,DELTA_SA,4,0.2217189807060592,0.13476047251307552,0.12462841163142452,0.75,1.0,0.0,,,,0.9959628498906999,
full_sample,release_dfm,pseudo,pre_second,DELTA_TS,4,0.11259261443482062,0.09148804431777487,-0.08497406892298952,1.0,1.0,0.0,,,,1.1443794803636709,
full_sample,release_dfm,pseudo,pre_third,DELTA_MT,4,0.6452762509353113,0.5528096529997947,0.31768524108575885,0.5,1.0,0.0,,,,1.0249005612906128,
full_sample,revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,4,0.3204254192767376,0.25779502119448555,0.18030657506722153,0.5,0.0,2.0,0.12432061296953056,0.12289352484758875,0.1288209015766801,1.439352701081404,
full_sample,revision_dfm_kalman_em,exact,pre_second,DELTA_TS,4,0.15367239346421316,0.1347530387754858,-0.1347530387754858,1.0,0.0,2.0,0.1257504711851246,0.1255715528948837,0.1290358380930415,1.5619100299036235,
full_sample,revision_dfm_kalman_em,exact,pre_third,DELTA_MT,4,0.5741431923138749,0.5431611175927915,0.14109919945731436,0.5,0.0,2.0,0.12451126797463485,0.12344706589734256,0.1282338233026543,0.9119190102080257,
full_sample,revision_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,4,0.31752219189072495,0.252412906727427,0.1839651743844732,0.5,0.0,2.0,0.12430887345246457,0.12287137030099629,0.1288208237355194,1.4263113881002332,
full_sample,revision_dfm_kalman_em,pseudo,pre_second,DELTA_TS,4,0.15367321829721842,0.13475423019706495,-0.13475423019706495,1.0,0.0,2.0,0.12575350936591614,0.12557431265425484,0.1290498835986678,1.5619184134194577,
full_sample,revision_dfm_kalman_em,pseudo,pre_third,DELTA_MT,4,0.5741841407097695,0.5431906525949709,0.14116130244101582,0.5,0.0,2.0,0.12444039027218007,0.1233058527763508,0.1282310459127484,0.9119840490714203,
full_sample,spf,exact,pre_advance,DELTA_SA,4,0.18521783796384184,0.13862499999999994,0.03162499999999998,0.0,1.0,0.0,,,,0.8319995210226065,
full_sample,spf,exact,pre_second,DELTA_TS,4,0.15440160297095354,0.13554999999999992,-0.13554999999999992,0.0,1.0,0.0,,,,1.5693216385654232,
full_sample,spf,exact,pre_third,DELTA_MT,4,0.5274127178974736,0.5086,0.07469999999999992,0.0,1.0,0.0,,,,0.8376963971964279,
full_sample,spf,pseudo,pre_advance,DELTA_SA,4,0.18521783796384184,0.13862499999999994,0.03162499999999998,0.0,1.0,0.0,,,,0.8319995210226065,
full_sample,spf,pseudo,pre_second,DELTA_TS,4,0.15440160297095354,0.13554999999999992,-0.13554999999999992,0.0,1.0,0.0,,,,1.5693216385654232,
full_sample,spf,pseudo,pre_third,DELTA_MT,4,0.5274127178974736,0.5086,0.07469999999999992,0.0,1.0,0.0,,,,0.8376963971964279,
full_sample,standard_dfm,exact,pre_advance,DELTA_SA,4,0.2217168052840871,0.13474201905901542,0.12464520244634165,0.75,1.0,0.0,,,,0.9959530778835396,
full_sample,standard_dfm,exact,pre_second,DELTA_TS,4,0.10245984592349086,0.0845288942523458,-0.06995759151036024,1.0,1.0,0.0,,,,1.0413910879025148,
full_sample,standard_dfm,exact,pre_third,DELTA_MT,4,0.6549096861246385,0.5346146519012216,0.3947721115551704,0.5,1.0,0.0,,,,1.0402014701934077,
full_sample,standard_dfm,pseudo,pre_advance,DELTA_SA,4,0.2217189807060592,0.13476047251307552,0.12462841163142452,0.75,1.0,0.0,,,,0.9959628498906999,
full_sample,standard_dfm,pseudo,pre_second,DELTA_TS,4,0.10255199603702578,0.08460930831474092,-0.07003215530327538,1.0,1.0,0.0,,,,1.0423276919557372,
