model_id,timing_mode,forecast_origin,forecast_origin_date,checkpoint_id,target_id,revision_target_id,target_quarter,forecast_value,forecast_variance,forecast_sd,density_source,realized_value,forecast_error,revision_target_flag,converged,n_iter,loglikelihood,llf_initial,llf_final,llf_last_improvement,llf_relative_last_improvement,llf_history_length,n_indicators,initialization_seed,initialization_jitter
standard_dfm,pseudo,2024:Q4:pre_second:pseudo,2025-02-28,pre_second,DELTA_TS,DELTA_TS,2024:Q4,0.06728211452915733,,,not_available,0.10440000000000005,-0.037117885470842715,True,True,0,,,,,,,14,,0.0
release_dfm,pseudo,2024:Q4:pre_second:pseudo,2025-02-28,pre_second,DELTA_TS,DELTA_TS,2024:Q4,0.05041121976040719,,,not_available,0.10440000000000005,-0.05398878023959286,True,True,0,,,,,,,14,,0.0
revision_dfm_kalman_em,pseudo,2024:Q4:pre_second:pseudo,2025-02-28,pre_second,DELTA_TS,DELTA_TS,2024:Q4,0.0009577026269336208,6.611249146404951,2.5712349457809083,model_implied_state_space,0.10440000000000005,-0.10344229737306643,True,False,2,-2612.07766468155,-3622.8120917510505,-2612.07766468155,383.9865961555297,0.12812090857480724,3.0,14,,0.0
indicator_revision_only_dfm_kalman_em,pseudo,2024:Q4:pre_second:pseudo,2025-02-28,pre_second,DELTA_TS,DELTA_TS,2024:Q4,0.0,6.687842523836279,2.5860863334073514,model_implied_state_space,0.10440000000000005,-0.10440000000000005,True,False,2,-4427.306527285647,-5861.405935455937,-4427.306527285647,419.97396789386676,0.08662328186486593,3.0,14,,0.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,2024:Q4:pre_second:pseudo,2025-02-28,pre_second,DELTA_TS,DELTA_TS,2024:Q4,0.0009389393012568803,6.639315295232185,2.5766868834284433,model_implied_state_space,0.10440000000000005,-0.10346106069874317,True,False,2,-4473.6902279402875,-5875.4461693007825,-4473.6902279402875,391.5528351910116,0.08046306567741761,3.0,14,,0.0
ar,pseudo,2024:Q4:pre_third:pseudo,2025-03-31,pre_third,DELTA_MT,DELTA_MT,2024:Q4,0.33614694528956646,,,not_available,-0.5985,0.9346469452895665,True,True,0,,,,,,,14,,0.0
no_revision,pseudo,2024:Q4:pre_third:pseudo,2025-03-31,pre_third,DELTA_MT,DELTA_MT,2024:Q4,0.0,,,not_available,-0.5985,0.5985,True,True,0,,,,,,,14,,0.0
bridge,pseudo,2024:Q4:pre_third:pseudo,2025-03-31,pre_third,DELTA_MT,DELTA_MT,2024:Q4,0.13459644879060262,,,not_available,-0.5985,0.7330964487906027,True,True,0,,,,,,,14,,0.0
midas_umidas,pseudo,2024:Q4:pre_third:pseudo,2025-03-31,pre_third,DELTA_MT,DELTA_MT,2024:Q4,1.0551452959038703,,,not_available,-0.5985,1.6536452959038703,True,True,0,,,,,,,14,,0.0
monthly_mixed_frequency_kalman_em,pseudo,2024:Q4:pre_third:pseudo,2025-03-31,pre_third,DELTA_MT,DELTA_MT,2024:Q4,0.06940554001954213,13.25107355808569,3.640202406197448,model_implied_state_space,-0.5985,0.6679055400195422,True,False,2,-7723.774722302989,-8791.999099907305,-7723.774722302989,541.5091838707867,0.06550817634830494,3.0,14,,0.0
standard_dfm,pseudo,2024:Q4:pre_third:pseudo,2025-03-31,pre_third,DELTA_MT,DELTA_MT,2024:Q4,0.3146620147523578,,,not_available,-0.5985,0.9131620147523578,True,True,0,,,,,,,14,,0.0
release_dfm,pseudo,2024:Q4:pre_third:pseudo,2025-03-31,pre_third,DELTA_MT,DELTA_MT,2024:Q4,0.30375904272645826,,,not_available,-0.5985,0.9022590427264583,True,True,0,,,,,,,14,,0.0
revision_dfm_kalman_em,pseudo,2024:Q4:pre_third:pseudo,2025-03-31,pre_third,DELTA_MT,DELTA_MT,2024:Q4,0.0869319821988741,8.441198791973894,2.9053741225484018,model_implied_state_space,-0.5985,0.6854319821988741,True,False,2,-2573.518258288395,-3600.0855032425316,-2573.518258288395,360.8066426852206,0.1229188096232703,3.0,14,,0.0
indicator_revision_only_dfm_kalman_em,pseudo,2024:Q4:pre_third:pseudo,2025-03-31,pre_third,DELTA_MT,DELTA_MT,2024:Q4,0.0,8.465643877341712,2.9095779551924212,model_implied_state_space,-0.5985,0.5985,True,False,2,-4427.498658552799,-5862.593422730148,-4427.498658552799,420.49383731418493,0.08671777439799937,3.0,14,,0.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,2024:Q4:pre_third:pseudo,2025-03-31,pre_third,DELTA_MT,DELTA_MT,2024:Q4,0.07998579979320652,9.394433807426006,3.065034063012352,model_implied_state_space,-0.5985,0.6784857997932066,True,False,2,-4473.983898931714,-5876.604212818818,-4473.983898931714,391.958263167171,0.08053481017702041,3.0,14,,0.0
